id,growth_rate,length_weight
Efxl-08-1748,1,1
Efxl-08-1749,1,0
Efxl-08-1750,1,0
Efxl-08-1751,1,1
Efxl-08-1752,0,1
Efxl-08-1753,0,1
Efxl-08-1754,0,0
Efxl-08-1755,1,1
Efxl-08-1756,1,0
Efxl-08-1757,1,0
Efxl-08-1758,0,0
Efxl-08-1759,1,0
Efxl-08-1760,1,1
Efxl-08-1761,0,0
Efxl-08-1762,0,1
Efxl-08-1763,1,1
Efxl-08-1764,0,1
Efxl-08-1765,1,1
Efxl-08-1766,0,1
Efxl-08-1767,0,1
Efxl-08-1768,0,1
Efxl-08-1769,0,1
Efxl-08-1770,0,1
Efxl-08-1771,0,0
Efxl-08-1772,1,1
Efxl-08-1773,1,0
Efxl-08-1774,0,1
Efxl-08-1775,1,1
Efxl-08-1776,1,0
Efxl-08-1777,1,0
Efxl-08-1778,0,1
Efxl-08-1779,1,0
Efxl-08-1780,0,1
Efxl-08-1781,0,1
Efxl-08-1782,1,1
Efxl-08-1783,0,1
Efxl-08-1784,0,0
Efxl-08-1785,0,1
Efxl-08-1786,1,1
Efxl-08-1787,1,1
Efxl-08-1788,0,1
Efxl-08-1789,0,1
Efxl-08-1790,0,1
Efxl-08-1791,1,0
Efxl-08-1792,0,1
Efxl-08-1793,1,1
Efxl-08-1794,1,0
Efxl-08-1795,1,1
Efxl-09-1796,1,1
Efxl-09-1797,0,0
Efxl-09-1798,1,0
Efxl-09-1799,1,0
Efxl-09-1800,1,0
Efxl-09-1801,0,1
Efxl-09-1802,0,1
Efxl-09-1803,1,0
Efxl-09-1804,0,1
Efxl-09-1805,1,1
Efxl-09-1806,0,1
Efxl-09-1807,0,1
Efxl-09-1808,1,1
Efxl-09-1809,1,1
Efxl-09-1810,1,1
Efxl-09-1811,1,0
Efxl-09-1812,1,1
Efxl-09-1813,1,0
Efxl-09-1814,0,0
Efxl-09-1815,1,1
Efxl-09-1816,1,1
Efxl-09-1817,0,0
Efxl-09-1818,0,0
Efxl-09-1819,1,0
Efxl-09-1820,1,1
Efxl-09-1821,0,1
Efxl-09-1822,1,1
Efxl-09-1823,0,1
Efxl-09-1824,0,1
Efxl-09-1825,1,1
Efxl-09-1826,0,1
Efxl-09-1827,1,0
Efxl-09-1828,1,0
Efxl-09-1829,1,1
Efxl-09-1830,1,1
Efxl-09-1831,0,1
Efxl-09-1832,1,0
Efxl-09-1833,0,1
Efxl-09-1834,0,1
Efxl-09-1835,0,0
Efxl-09-1836,1,0
Efxl-09-1837,0,1
Efxl-09-1838,1,1
Efxl-09-1839,0,0
Efxl-09-1840,1,1
Efxl-09-1841,0,1
Efxl-09-1842,1,1
Efxl-09-1843,1,0
Efxl-09-1844,0,1
Efxl-09-1845,1,1
Efxl-09-1846,0,1
Efxl-09-1847,0,0
Efxl-09-1848,1,1
Efxl-09-1849,0,0
Efxl-09-1850,1,1
Efxl-09-1851,0,0
Efxl-09-1852,0,1
Efxl-09-1853,0,1
Efxl-09-1854,1,0
Efxl-09-1855,1,0
Efxl-09-1856,1,1
Efxl-09-1857,1,1
Efxl-09-1858,1,0
Efxl-09-1859,1,1
Efxl-09-1860,1,1
Efxl-09-1861,0,1
Efxl-09-1862,1,0
Efxl-09-1863,0,1
Efxl-09-1864,0,1
Efxl-09-1865,1,1
Efxl-09-1866,0,1
Efxl-09-1867,0,0
Efxl-09-1868,0,1
Efxl-09-1869,0,1
Efxl-09-1870,0,0
Efxl-09-1871,0,0
Efxl-09-1872,0,0
Efxl-09-1873,1,1
Efxl-09-1874,0,1
Efxl-09-1875,1,0
Efxl-09-1876,0,0
Efxl-09-1877,0,0
Efxl-09-1878,0,0
Efxl-09-1879,0,1
Efxl-09-1880,0,1
Efxl-09-1881,0,1
Efxl-09-1882,1,1
Efxl-09-1883,0,1
Efxl-09-1884,0,1
Efxl-09-1885,0,1
Efxl-09-1886,0,1
Efxl-09-1887,1,1
Efxl-09-1889,1,1
Efxl-09-1890,0,1
Efxl-09-1891,1,0
Efxl-09-1892,0,0
